dataset,unit,eps,gamma,delta,fpr,tpr_empirical,tpr_dp_bound,n_shadows,n_pos,n_neg
cifar100,U1,1.0,1.0,1e-05,0.7934096665797492,0.7926546517291768,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.8309941949353395,0.8330053580126644,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.8703591361485166,0.8715830491962981,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.9115888299750827,0.9118558207501217,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.9547716114208056,0.95501217730151,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,1.0,1.0,1.0,1024,51325,51175
cifar100,U1,4.0,1.0,1e-05,0.0,9.736150326161036e-05,1e-05,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.0001,0.00017525070587089866,0.005469815003314424,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00010473708979594497,0.00017525070587089866,0.005728451342713903,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00010969857978923841,0.00017525070587089866,0.005999339517755682,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00011489510001873086,0.00017525070587089866,0.00628305990889578,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00012033778407775893,0.0002141953071755428,0.006580220389733597,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00012603829296797275,0.0002141953071755428,0.006891457629386763,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.0001320088400831418,0.0002141953071755428,0.00721743845656072,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00013826221737646565,0.00023366760782786487,0.007558861288235473,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.0001448118227674533,0.00023366760782786487,0.007916457626030507,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00015167168884709225,0.00023366760782786487,0.008290993623453912,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00015885651294280528,0.00023366760782786487,0.008683271727393402,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.0001663816886076129,0.00023366760782786487,0.009094132397366334,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00017426333860096508,0.00023366760782786487,0.009524455906212106,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00018251834943190426,0.00023366760782786487,0.009975164226084954,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00019116440753857018,0.00023366760782786487,0.010447223003787984,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00020022003718155845,0.00023366760782786487,0.010941643629680446,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00020970464013232327,0.00023366760782786487,0.011459485404591106,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.0002196385372416547,0.00023366760782786487,0.012001857809380201,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.0002300430119772917,0.00023366760782786487,0.012569922882012568,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00024094035602395243,0.00023366760782786487,0.013164897707234943,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.0002523539170434766,0.00023366760782786487,0.01378805702419137,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00026430814869741055,0.00023366760782786487,0.014440735957563818,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.00027682866303920667,0.00023366760782786487,0.015124332878089336,1024,51355,51145
cifar100,U1,4.0,1.0,1e-05,0.0002899422853882875,0.00023366760782786487,0.015840312398582444,1024,51355,51145
